Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,1 week % increase
3.5,69.49,5.04,2.07
2.95,56.25,5.25,17.0
4.16,67.34,6.17,18.07
5.73,88.53,6.48,2.6
4.32,25.47,16.94,26.84
3.49,75.58,4.62,13.16
1.83,43.35,4.21,28.02
1.9,71.32,2.67,6.89
1.09,60.84,1.79,23.13
3.47,88.75,3.91,4.13
1.39,76.34,1.82,9.16
2.88,23.82,12.09,119.54
0.36,91.46,0.39,6.89
1.31,55.56,2.36,9.05
6.36,85.45,7.45,3.77
0.8,89.95,0.89,1.57
14.79,26.27,56.28,3.64
4.17,54.17,7.69,20.0
1.98,58.53,3.38,10.49
0.0,86.87,0.0,10.0
3.72,30.17,12.32,16.71
2.8,46.96,5.96,23.81
0.27,8.53,3.17,41.57
3.59,75.61,4.74,15.28
2.13,97.87,2.17,0.0
3.27,52.58,6.21,18.95
4.82,84.18,5.72,3.29
1.71,83.43,2.05,2.64
0.26,79.63,0.33,17.39
0.95,66.58,1.42,12.41
0.0,65.04,0.0,32.16
2.29,84.97,2.69,5.9
7.68,0.0,inf,3.13
1.28,33.62,3.82,1.12
8.13,87.85,9.26,3.71
2.64,91.96,2.87,4.47
5.37,90.88,5.9,1.36
3.41,51.02,6.69,26.03
1.98,92.66,2.13,5.99
1.69,25.91,6.51,12.24
2.35,64.45,3.65,4.75
0.73,24.14,3.01,37.34
0.61,66.18,0.93,9.38
2.85,80.64,3.53,11.69
3.44,92.85,3.7,3.52
1.79,80.38,2.23,2.12
2.4,73.65,3.26,10.06
4.45,91.6,4.86,2.29
1.15,98.38,1.17,0.78
0.0,100.0,0.0,0.0
1.69,47.08,3.59,18.9
6.82,43.0,15.85,8.77
5.03,37.67,13.35,4.62
2.71,51.73,5.25,23.17
1.66,27.42,6.06,0.0
0.0,72.08,0.0,5.58
3.39,94.54,3.59,0.64
1.47,44.26,3.32,26.83
1.57,43.9,3.57,42.52
0.0,66.67,0.0,0.0
4.45,93.54,4.75,0.79
13.71,36.86,37.2,2.96
0.68,65.13,1.05,11.75
2.45,20.25,12.12,191.07
1.41,81.09,1.74,9.43
4.41,91.89,4.79,1.86
0.5,88.63,0.56,18.27
4.78,32.51,14.7,5.36
0.0,92.86,0.0,7.69
0.0,100.0,0.0,0.0
3.89,71.63,5.43,16.06
0.64,88.69,0.72,7.06
1.33,41.1,3.24,0.26
5.14,46.53,11.05,15.43
2.15,59.47,3.62,4.07
0.0,100.0,0.0,0.0
2.93,12.68,23.14,14.82
13.4,74.84,17.9,2.51
0.54,98.33,0.55,0.82
2.26,64.26,3.51,28.11
4.82,58.0,8.32,13.7
5.42,86.9,6.24,6.3
3.96,68.52,5.78,18.89
6.81,90.24,7.55,0.49
0.74,42.41,1.75,23.04
14.26,80.64,17.68,0.68
1.17,83.7,1.4,5.44
3.2,70.55,4.54,21.15
0.94,88.52,1.06,-3.84
0.69,64.27,1.08,15.22
1.59,43.58,3.64,30.53
2.5,54.32,4.59,26.14
0.68,85.52,0.8,7.72
3.91,63.69,6.14,22.67
0.0,95.0,0.0,5.26
2.54,85.73,2.97,2.27
1.31,44.02,2.98,33.63
2.38,25.35,9.38,40.67
6.17,55.36,11.15,5.42
2.26,20.41,11.09,42.78
1.16,94.19,1.23,0.0
3.96,80.24,4.94,3.7
1.77,76.33,2.32,12.09
0.94,64.6,1.45,35.47
2.7,44.9,6.02,22.46
1.39,96.6,1.44,1.18
0.45,75.6,0.59,12.34
4.93,76.12,6.48,1.54
1.28,94.86,1.35,3.55
2.51,74.95,3.35,4.81
2.91,96.51,3.01,0.29
11.13,76.82,14.49,13.19
3.23,69.77,4.63,9.66
3.45,89.66,3.85,6.42
0.0,76.82,0.0,0.7
1.56,27.96,5.56,32.22
1.51,79.25,1.91,18.93
0.65,0.0,inf,12.87
0.43,5.48,7.92,37.13
0.26,73.35,0.35,5.09
11.53,0.35,3259.26,2.46
1.41,97.24,1.45,0.13
3.14,72.46,4.33,9.28
6.1,90.72,6.72,2.44
2.09,44.2,4.72,10.62
4.56,54.48,8.38,10.42
2.79,95.84,2.91,1.08
0.51,74.01,0.69,12.66
2.13,87.87,2.42,3.08
2.15,57.1,3.77,12.89
0.0,17.74,0.0,226.32
0.95,63.87,1.48,21.34
4.73,69.93,6.76,8.96
2.37,32.24,7.35,19.07
3.86,75.7,5.1,7.48
3.42,70.33,4.86,3.13
0.15,97.02,0.16,2.39
4.81,56.19,8.55,20.35
1.63,73.74,2.21,5.21
0.27,51.89,0.51,15.35
0.0,88.24,0.0,0.0
0.0,91.67,0.0,4.35
0.0,75.0,0.0,4.0
6.01,93.99,6.39,0.0
1.62,84.86,1.91,15.95
1.03,82.9,1.24,6.15
1.99,66.34,3.0,9.12
2.25,0.0,inf,13.59
0.0,34.21,0.0,5.56
3.7,73.86,5.01,4.21
0.05,89.88,0.06,5.84
1.28,74.09,1.73,10.15
5.56,83.04,6.69,6.86
2.91,48.28,6.03,2.11
1.56,60.75,2.57,21.12
2.11,91.58,2.31,2.8
2.0,50.98,3.91,4.25
10.44,55.2,18.91,2.86
0.39,75.61,0.52,2.75
6.3,51.99,12.12,3.93
1.62,62.37,2.59,37.44
7.18,0.0,inf,1.73
5.74,89.62,6.4,2.51
5.93,0.0,inf,29.12
1.52,95.24,1.59,2.44
0.83,83.32,1.0,4.54
4.13,35.95,11.48,0.0
1.76,94.36,1.86,1.45
0.0,0.0,0.0,0.0
2.06,69.45,2.97,11.62
5.41,86.49,6.25,8.03
3.44,79.52,4.32,5.36
2.48,92.71,2.67,2.92
3.45,30.9,11.16,11.88
0.18,87.41,0.2,5.52
2.44,55.45,4.4,10.42
0.58,88.73,0.66,3.47
15.19,0.48,3190.26,1.6
2.91,79.12,3.68,12.97
0.57,55.04,1.04,23.67
0.91,62.29,1.47,29.63
0.0,84.69,0.0,12.24
0.73,35.33,2.08,19.12
10.0,80.0,12.5,0.0
28.56,49.26,57.98,4.45
3.08,61.84,4.97,36.86
1.33,20.04,6.64,57.85
